,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
80,127 Hours,94 min,R,"Biography, Drama","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","18,335,230.00",2010,127 Hours,Best Picture,127 Hours,2011,0
81,The Kids Are All Right,106 min,R,"Comedy, Drama, Romance",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,"20,811,365.00",2010,The Kids Are All Right,Best Picture,The Kids Are All Right,2011,0
82,The Fighter,116 min,R,"Action, Biography, Drama","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","93,617,009.00",2010,The Fighter,Best Picture,The Fighter,2011,0
83,The Social Network,120 min,PG-13,"Biography, Drama","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","96,962,694.00",2010,The Social Network,Best Picture,The Social Network,2011,0
84,Black Swan,108 min,R,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","106,954,678.00",2010,Black Swan,Best Picture,Black Swan,2011,0
85,The King's Speech,118 min,R,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","138,797,449.00",2010,The King's Speech,Best Picture,The King's Speech,2011,1
86,True Grit,110 min,PG-13,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,"171,243,005.00",2010,True Grit,Best Picture,True Grit,2011,0
87,Inception,148 min,PG-13,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","292,576,195.00",2010,Inception,Best Picture,Inception,2011,0
88,Toy Story 3,103 min,G,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","415,004,880.00",2010,Toy Story 3,Best Picture,Toy Story 3,2011,0
89,A Serious Man,106 min,R,"Comedy, Drama","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.","9,190,525.00",2009,A Serious Man,Best Picture,A Serious Man,2010,0
90,An Education,100 min,PG-13,Drama,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.","12,574,715.00",2009,An Education,Best Picture,An Education,2010,0
91,The Hurt Locker,131 min,R,"Drama, Thriller, War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","17,017,811.00",2008,The Hurt Locker,Best Picture,The Hurt Locker,2010,1
92,Precious,110 min,R,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.","47,395,661.00",2009,Precious: Based on the Novel 'Push' by Sapphire,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,2010,0
93,Up in the Air,109 min,R,"Comedy, Drama, Romance","Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.","83,823,381.00",2009,Up in the Air,Best Picture,Up in the Air,2010,0
94,District 9,112 min,R,"Action, Sci-Fi, Thriller",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"115,646,235.00",2009,District 9,Best Picture,District 9,2010,0
95,Inglourious Basterds,153 min,R,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","120,540,719.00",2009,Inglourious Basterds,Best Picture,Inglourious Basterds,2010,0
96,The Blind Side,129 min,PG-13,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","255,959,475.00",2009,The Blind Side,Best Picture,The Blind Side,2010,0
97,Up,96 min,PG,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","293,004,164.00",2009,Up,Best Picture,Up,2010,0
98,Avatar,162 min,PG-13,"Action, Adventure, Fantasy",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"760,507,625.00",2009,Avatar,Best Picture,Avatar,2010,0
99,Frost/Nixon,122 min,R,"Biography, Drama, History",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,"18,593,156.00",2008,Frost/Nixon,Best Picture,Frost/Nixon,2009,0
100,Milk,128 min,R,"Biography, Crime, Drama",The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official.,"31,841,299.00",2008,Milk,Best Picture,Milk,2009,0
101,The Reader,124 min,R,"Drama, Romance","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.","34,194,407.00",2008,The Reader,Best Picture,The Reader,2009,0
