,title,runtime,rating,genre,summary
63,164.Good Will Hunting(1997),126 min,R,"Drama, Romance",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
64,165.L.A. Confidential(1997),138 min,R,"Crime, Drama, Mystery","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
65,166.The English Patient(1996),162 min,R,"Drama, Romance, War","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
66,167.Fargo(1996),98 min,R,"Crime, Thriller",
67,168.Jerry Maguire(1996),139 min,R,"Comedy, Drama, Romance",The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.
68,169.Secrets & Lies(1996),136 min,R,"Comedy, Drama","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
69,170.Shine(1996),105 min,PG-13,"Biography, Drama, Music","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
70,171.Braveheart(1995),178 min,R,"Biography, Drama, History","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
71,172.Apollo 13(I) (1995),140 min,PG,"Adventure, Drama, History","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
72,173.Babe(1995),91 min,G,"Comedy, Drama, Family",
73,174.The Postman(1994),108 min,PG,"Biography, Comedy, Drama","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
74,175.Sense and Sensibility(1995),136 min,PG,"Drama, Romance","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
