,title,rating,genre,summary,gross,release_year,category,nominee,oscar_year,winner,genre_1,genre_2,genre_3,runtime_min,Year,avg_cpi,cpi_2020,gross_adjusted
86,True Grit,PG-13,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,171243005,2010,Best Picture,True Grit,2011,0,Drama, Western,,110,2011,224.9391667,258.811167,197029279.6
87,Inception,PG-13,"Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",292576195,2010,Best Picture,Inception,2011,0,Action, Adventure, Sci-Fi,148,2011,224.9391667,258.811167,336633177.7
88,Toy Story 3,G,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",415004880,2010,Best Picture,Toy Story 3,2011,0,Animation, Adventure, Comedy,103,2011,224.9391667,258.811167,477497533.6
89,A Serious Man,R,"Comedy, Drama","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",9190525,2009,Best Picture,A Serious Man,2010,0,Comedy, Drama,,106,2010,218.0555,258.811167,10908280.23
90,An Education,PG-13,Drama,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",12574715,2009,Best Picture,An Education,2010,0,Drama,,,100,2010,218.0555,258.811167,14924992.32
91,The Hurt Locker,R,"Drama, Thriller, War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",17017811,2008,Best Picture,The Hurt Locker,2010,1,Drama, Thriller, War,131,2010,218.0555,258.811167,20198525.26
92,Precious,R,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.",47395661,2009,Best Picture,Precious: Based on the Novel 'Push' by Sapphire,2010,0,Drama,,,110,2010,218.0555,258.811167,56254147.84
93,Up in the Air,R,"Comedy, Drama, Romance","Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.",83823381,2009,Best Picture,Up in the Air,2010,0,Comedy, Drama, Romance,109,2010,218.0555,258.811167,99490391.48
94,District 9,R,"Action, Sci-Fi, Thriller",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,115646235,2009,Best Picture,District 9,2010,0,Action, Sci-Fi, Thriller,112,2010,218.0555,258.811167,137261096.6
95,Inglourious Basterds,R,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",120540719,2009,Best Picture,Inglourious Basterds,2010,0,Adventure, Drama, War,153,2010,218.0555,258.811167,143070384.2
96,The Blind Side,PG-13,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",255959475,2009,Best Picture,The Blind Side,2010,0,Biography, Drama, Sport,129,2010,218.0555,258.811167,303799585.1
97,Up,PG,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",293004164,2009,Best Picture,Up,2010,0,Animation, Adventure, Comedy,96,2010,218.0555,258.811167,347768112.3
